1\2\4\File11	1	0	1\2\4\File11	0	1\2\4\File1	1	0	1	4
1\2\4\File21	1	0	1\2\4\File21	0	1\2\4\File2	1	4	1	4
1\2\4\File31	1	0	1\2\4\File31	0	1\2\4\File3	1	8	1	4
1\2\5\File11	1	0	1\2\5\File11	0	1\2\5\File1	1	12	1	4
1\2\5\File21	1	0	1\2\5\File21	0	1\2\5\File2	1	16	1	4
1\2\5\File31	1	0	1\2\5\File31	0	1\2\5\File3	1	20	1	4
1\2\File11	1	0	1\2\File11	0	1\2\File1	1	24	1	4
1\2\File21	1	0	1\2\File21	0	1\2\File2	1	28	1	4
1\2\File31	1	0	1\2\File31	0	1\2\File3	1	32	1	4
1\2\4\image.jpg1	1	0	1\2\4\image.jpg1	0	image.jpg	1	36	1	9523635
1\bb.txt1	1	0	1\bb.txt1	0	bb.txt	2	1	1	70
1\i.jpg1	1	0	1\i.jpg1	0	i.jpg	0	1	1	9523635
1\i.jpg1	1	0	1\i.jpg1	0	i.jpg	0	1	1	9523635
1\i.jpg1	1	0	1\i.jpg1	0	i.jpg	2	1	1	9523635
1\i.jpg1	1	0	1\i.jpg1	0	i.jpg	4	1	1	9523635
1\t.txt1	1	0	1\t.txt1	0	t.txt	1	1	1	70
1\t.txt1	1	0	1\t.txt1	0	t.txt	4	1	1	70
1\t.txt1	1	0	1\t.txt1	0	t.txt	4	73	1	70
1\hi.txt1	1	0	1\hi.txt1	0	hi.txt	3	1	1	70
1\hi.txt1	1	0	1\hi.txt1	0	hi.txt	4	4	1	70
1\hi.txt1	1	0	1\hi.txt1	0	hi.txt	3	4	1	70
1\hi.txt1	1	0	1\hi.txt1	0	hi.txt	4	4	1	70
1\no.txt1	1	0	1\no.txt1	0	no.txt	0	4	1	70
1\no.txt1	1	0	1\no.txt1	0	no.txt	0	4	1	70
1\no.txt1	1	0	1\no.txt1	0	no.txt	2	4	1	70
1\no.txt1	1	0	1\no.txt1	0	no.txt	0	4	1	70
1\no.txt1	1	0	1\no.txt1	0	no.txt	2	82	1	70
1\no.txt1	1	0	1\no.txt1	0	no.txt	4	4	1	70
1\no.txt1	1	0	1\no.txt1	0	no.txt	0	4	1	70
